CustomerID,Age,Gender,Income_Level,Eyewear_Type,Brand,Price,Purchase_Frequency,Customer_Tenure_Days,Customer_Satisfaction,CLV,CLV_Class
CUST00001,56,Female,High,Sunglasses,Vogue Eyewear,1170.99,1,1801,0.62,3582.33,Low
CUST00002,69,Male,Medium,Optical Glasses,Vogue Eyewear,1033.9,2,913,0.87,4499.93,Medium
CUST00003,46,Male,Medium,Optical Glasses,Ray-Ban,1284.68,3,497,0.78,4093.31,Medium
CUST00004,32,Female,Low,Optical Glasses,Ray-Ban,1316.68,4,524,0.63,4763.42,Medium
CUST00005,60,Male,Medium,Optical Glasses,Persol,1038.45,5,1574,0.53,11867.07,High
CUST00006,25,Male,Medium,Sunglasses,Vogue Eyewear,1143.83,2,1916,0.6,7205.19,Medium
CUST00007,38,Female,Medium,Sunglasses,Oliver Peoples,1129.19,4,1017,0.83,10445.6,High
CUST00008,56,Male,Medium,Optical Glasses,Persol,973.74,2,1171,0.78,4873.4,Medium
CUST00009,36,Female,Low,Optical Glasses,Persol,1194.54,5,1859,0.53,16122.53,High
CUST00010,40,Female,High,Optical Glasses,Oakley,1028.21,3,1442,0.78,9505.39,High
CUST00011,28,Male,High,Optical Glasses,Oliver Peoples,1223.85,2,1666,0.7,7820.57,Medium
CUST00012,28,Female,Low,Optical Glasses,Persol,1240.37,4,1990,0.51,13795.63,High
CUST00013,41,Male,High,Optical Glasses,Oakley,1258.95,4,1471,0.95,19280.22,High
CUST00014,53,Male,Low,Optical Glasses,Vogue Eyewear,1266.2,5,231,0.63,2524.25,Low
CUST00015,57,Male,Medium,Sunglasses,Oliver Peoples,1429.64,1,893,0.78,2728.22,Low
CUST00016,41,Male,Medium,Optical Glasses,Vogue Eyewear,1078.7,5,1922,0.79,22436.66,High
CUST00017,20,Male,High,Optical Glasses,Oakley,1086.23,5,988,0.75,11025.98,High
CUST00018,39,Male,Low,Optical Glasses,Oliver Peoples,1298.27,1,1198,0.62,2641.93,Low
CUST00019,19,Male,Medium,Sunglasses,Ray-Ban,1180.2,3,210,0.7,1425.94,Low
CUST00020,41,Male,Medium,Sunglasses,Ray-Ban,1368.8,2,65,0.65,316.89,Low
CUST00021,61,Female,Medium,Optical Glasses,Ray-Ban,1284.25,4,1089,0.72,11035.12,High
CUST00022,47,Female,Medium,Sunglasses,Persol,1487.72,2,1450,0.54,6382.93,Medium
CUST00023,55,Male,Low,Sunglasses,Ray-Ban,1186.3,2,561,0.58,2115.06,Low
CUST00024,19,Male,Medium,Sunglasses,Persol,977.69,4,1872,0.57,11432.71,High
CUST00025,38,Male,High,Optical Glasses,Persol,1251.1,1,1283,0.8,3518.16,Low
CUST00026,50,Male,High,Optical Glasses,Oakley,1189.25,4,1264,0.83,13673.05,High
CUST00027,29,Female,High,Optical Glasses,Ray-Ban,1280.17,1,499,0.96,1680.14,Low
CUST00028,39,Female,Medium,Sunglasses,Oliver Peoples,1299.39,1,1837,0.63,4119.99,Medium
CUST00029,61,Male,Medium,Optical Glasses,Persol,1119.82,5,1059,0.7,11371.54,High
CUST00030,42,Male,Medium,Optical Glasses,Oakley,1048.65,3,488,0.81,3406.93,Low
CUST00031,66,Male,Low,Sunglasses,Persol,1178.11,5,1447,0.99,23118.88,High
CUST00032,44,Female,High,Sunglasses,Oliver Peoples,842.82,3,188,0.7,911.63,Low
CUST00033,59,Male,Low,Optical Glasses,Oliver Peoples,1212.1,1,1199,0.64,2548.27,Low
CUST00034,45,Female,High,Optical Glasses,Ray-Ban,1138.88,5,381,0.69,4101.37,Medium
CUST00035,33,Female,Low,Optical Glasses,Persol,1329.25,2,1734,0.65,8209.3,Medium
CUST00036,32,Male,High,Sunglasses,Oliver Peoples,902.12,4,903,0.54,4820.73,Medium
CUST00037,64,Female,Low,Optical Glasses,Vogue Eyewear,1200.95,4,1100,0.67,9699.73,High
CUST00038,68,Female,Low,Optical Glasses,Oliver Peoples,1436.43,4,1589,0.79,19760.71,High
CUST00039,61,Female,Medium,Optical Glasses,Oliver Peoples,1301.31,3,139,0.59,877.15,Low
CUST00040,69,Male,Low,Optical Glasses,Persol,1347.1,4,1005,0.92,13649.63,High
CUST00041,20,Male,Medium,Optical Glasses,Oliver Peoples,1250.96,3,1658,0.87,14831.18,High
CUST00042,54,Female,Medium,Optical Glasses,Oakley,950.77,3,516,0.78,3145.2,Low
CUST00043,68,Female,Low,Sunglasses,Oliver Peoples,1224.98,3,246,0.87,2154.82,Low
CUST00044,24,Female,High,Optical Glasses,Vogue Eyewear,1261.27,2,133,0.66,606.65,Low
CUST00045,38,Female,Medium,Sunglasses,Oliver Peoples,1038.27,1,1782,0.6,3041.42,Low
CUST00046,26,Female,Medium,Optical Glasses,Ray-Ban,1181.02,2,709,0.92,4221.13,Medium
CUST00047,56,Female,Medium,Sunglasses,Persol,764.84,1,1610,0.91,3070.05,Low
CUST00048,35,Male,Medium,Optical Glasses,Vogue Eyewear,1149.89,2,1392,0.87,7630.48,Medium
CUST00049,21,Female,Medium,Sunglasses,Oakley,1134.54,3,1767,0.63,10380.67,High
CUST00050,42,Female,Low,Optical Glasses,Oliver Peoples,1410.34,1,1822,0.67,4716.87,Medium
CUST00051,31,Female,Medium,Sunglasses,Oliver Peoples,1109.52,4,1336,0.69,11208.77,High
CUST00052,67,Female,Medium,Optical Glasses,Oakley,1160.05,2,1587,0.59,5951.72,Medium
CUST00053,26,Male,Medium,Optical Glasses,Oliver Peoples,1188.12,1,1081,0.88,3096.53,Low
CUST00054,43,Female,Medium,Optical Glasses,Ray-Ban,1111.45,4,795,0.59,5713.16,Medium
CUST00055,19,Female,Medium,Sunglasses,Vogue Eyewear,1307.97,5,973,0.61,10634.51,High
CUST00056,37,Male,Low,Optical Glasses,Oliver Peoples,901.14,3,1600,0.52,6162.32,Medium
CUST00057,45,Male,Medium,Sunglasses,Oakley,1370.49,2,1568,0.83,9773.21,High
CUST00058,64,Male,Medium,Optical Glasses,Oakley,1198.22,2,1475,0.96,9296.87,High
CUST00059,24,Male,Low,Optical Glasses,Vogue Eyewear,1395.25,5,1783,0.74,25218.09,High
CUST00060,61,Male,Low,Optical Glasses,Ray-Ban,787.92,1,841,0.95,1724.68,Low
CUST00061,25,Male,Low,Sunglasses,Vogue Eyewear,834.57,2,534,0.92,2246.62,Low
CUST00062,64,Female,High,Sunglasses,Oliver Peoples,1156.2,2,1307,0.9,7452.26,Medium
CUST00063,52,Female,Medium,Optical Glasses,Ray-Ban,1275.89,2,930,0.58,3771.04,Medium
CUST00064,31,Female,Low,Sunglasses,Ray-Ban,1116.76,2,1293,0.69,5459.4,Medium
CUST00065,34,Female,Low,Optical Glasses,Oakley,1287.58,5,270,0.83,3952.69,Medium
CUST00066,53,Male,Medium,Optical Glasses,Ray-Ban,1347.2,3,231,0.67,1713.75,Low
CUST00067,67,Male,Medium,Optical Glasses,Oliver Peoples,1299.9,2,1188,0.86,7277.16,Medium
CUST00068,57,Female,Medium,Optical Glasses,Oliver Peoples,1215.49,5,1531,0.64,16314.87,High
CUST00069,21,Male,High,Sunglasses,Oliver Peoples,1214.34,4,1526,0.7,14215.43,High
CUST00070,19,Female,Medium,Optical Glasses,Persol,1107.78,2,455,0.87,2402.82,Low
CUST00071,23,Female,Low,Optical Glasses,Ray-Ban,1191.69,1,383,0.56,700.26,Low
CUST00072,59,Female,Medium,Sunglasses,Ray-Ban,1046.37,5,396,0.89,5051.82,Medium
CUST00073,21,Female,High,Sunglasses,Oliver Peoples,1082.29,1,1622,0.86,4136.19,Medium
CUST00074,46,Male,Medium,Optical Glasses,Oakley,1277.15,3,114,0.72,861.6,Low
